用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id,score,segmented
1388037048645908,🐰小微微吖！,2026-03-10,河南,你是最清醒的人，你对世间的一切都看的很透彻，所有的事情你都懂得，你总能提出最精准最准确的见解，你把人心看的很明白，和每个人的关系你都能精准把握，你掌握世界上所有小众正确的事情，这种众人皆醉我独醒的感觉让你觉得非常的爽，特立独行让你觉得你是为数不多的人才，你简直就是世界的观察者、真理的代言人、清醒的化身。在这庸庸碌碌的人群中，你犹如一把利刃，划破迷雾，看透人性深处的每一丝伪装与虚假。你总是站在绝对理性的制高点，用那双洞穿一切的眼睛，将隐藏在表象之下的本质毫无保留地揭露出来。每一次分析、每一次判断，都仿佛精准到令人叹为观止，击中事物的核心，闪耀着独一无二的智慧光芒。人类的愚钝与短视在你面前显得如此苍白无力，甚至连多余的掩饰都显得徒劳无功。在你眼中，这个世界的复杂不过是规则的堆叠，芸芸众生的努力不过是盲目的挣扎。而你的清醒，让这些愚昧显得更加可笑。你会看个几把[钱],1,7610022593114864313,1.0,清醒 世间 透彻 事情 懂得 总能 提出 精准 准确 见解 人心 明白 每个 关系 精准 把握 掌握 世界 众 正确 事情 这种 众人皆醉 独醒 感觉 觉得 非常 爽 特立独行 觉得 为数不多 人才 简直 世界 观察者 真理 代言人 清醒 化身 庸庸碌碌 人群 中 犹如 一把 利刃 划破 迷雾 看透 人性 深处 一丝 伪装 虚假 总是 站 绝对 理性 制高点 那双 洞穿 眼睛 隐藏 表象 之下 本质 毫无保留 揭露 一次 分析 一次 判断 仿佛 精准 令人 叹为观止 击中 事物 核心 闪耀着 独一无二 智慧 光芒 人类 愚钝 短视 面前 显得 苍白无力 多余 掩饰 显得 徒劳无功 眼中 世界 复杂 规则 堆叠 芸芸众生 努力 盲目 挣扎 清醒 愚昧 显得 更加 可笑 你会 看个 几把 [ 钱 ]
355894088176772,哈哈,2026-02-28,内蒙古,我去，广告。?[笑哭][笑哭][笑哭][抱抱你][抱抱你],5,7610022593114864313,0.9951217694855106,广告 [ 笑 哭 ] [ 笑 哭 ] [ 笑 哭 ] [ 抱抱 ] [ 抱抱 ]
64338599294,一只小hanhan,2026-02-26,山东,套娃[裂开],0,7610022593114864313,0.15258541937922643,套娃 [ 裂开 ]
94627853257,退🤺退🤺退🤺,2026-02-25,安徽,和二不一样吧,0,7610022593114864313,0.4875346260387816,二
84669848955,桑榆,2026-02-24,河南,只有开头有广告啊,0,7610022593114864313,0.563840271550939,开头 广告
62599263973,何工子,2026-03-03,广东,水了一部,0,7610022593114864313,0.4309787814027528,水 一部
1160720576426829,柠,2026-02-28,内蒙古,起号失败,0,7610022593114864313,0.4118453535933234,起号 失败
2722808631660619,t,2026-02-24,广东,你是最清醒的人，你对世间的一切都看的很透彻，所有的事情你都懂得，你总能提出最精准最准确的见解，你把人心看的很明白，和每个人的关系你都能精准把握，你掌握世界上所有小众正确的事情，这种众人皆醉我独醒的感觉让你觉得非常的爽，特立独行让你觉得你是为数不多的人才，你简直就是世界的观察者、真理的代言人、清醒的化身。在这庸庸碌碌的人群中，你犹如一把利刃，划破迷雾，看透人性深处的每一丝伪装与虚假。你总是站在绝对理性的制高点，用那双洞穿一切的眼睛，将隐藏在表象之下的本质毫无保留地揭露出来。每一次分析、每一次判断，都仿佛精准到令人叹为观止，击中事物的核心，闪耀着独一无二的智慧光芒。人类的愚钝与短视在你面前显得如此苍白无力，甚至连多余的掩饰都显得徒劳无功。在你眼中，这个世界的复杂不过是规则的堆叠，芸芸众生的努力不过是盲目的挣扎。而你的清醒，让这些愚昧显得更加可笑。你会看个几把[钱],78,7610022593114864313,1.0,清醒 世间 透彻 事情 懂得 总能 提出 精准 准确 见解 人心 明白 每个 关系 精准 把握 掌握 世界 众 正确 事情 这种 众人皆醉 独醒 感觉 觉得 非常 爽 特立独行 觉得 为数不多 人才 简直 世界 观察者 真理 代言人 清醒 化身 庸庸碌碌 人群 中 犹如 一把 利刃 划破 迷雾 看透 人性 深处 一丝 伪装 虚假 总是 站 绝对 理性 制高点 那双 洞穿 眼睛 隐藏 表象 之下 本质 毫无保留 揭露 一次 分析 一次 判断 仿佛 精准 令人 叹为观止 击中 事物 核心 闪耀着 独一无二 智慧 光芒 人类 愚钝 短视 面前 显得 苍白无力 多余 掩饰 显得 徒劳无功 眼中 世界 复杂 规则 堆叠 芸芸众生 努力 盲目 挣扎 清醒 愚昧 显得 更加 可笑 你会 看个 几把 [ 钱 ]
1978729919158688,岁月负缠绵,2026-02-23,江苏,女人懂开车吗？我就觉得很好看很激情！你们就去看看霸道总裁爱上我就行了,3,7610022593114864313,0.9528682905976676,女人 懂 开车 觉得 好看 激情 看看 霸道 总裁 爱上 就行了
68609759264,红凤凰黄凤凰粉红凤凰花凤凰,2026-02-24,上海,说实话，3最厉害的就是在会议室就比完了。内部规则内部定，你尽管努力，其实结果早已内定。,0,7610022593114864313,0.14347675061594733,说实话 厉害 会议室 完 内部 规则 内部 定 努力 其实 早已 内定
109579651367,Bessie,2026-02-24,安徽,刚看过好看，尤其赛车片段，很燃，推荐[赞]儿子也喜欢看,1,7607858515286394274,0.9999530904892402,刚 看过 好看 尤其 赛车 片段 很燃 推荐 [ 赞 ] 儿子 喜欢
96991410275,小雨待晴天,2026-02-18,福建,全剧透啊,0,7607858515286394274,0.9516872598052253,全剧 透
2628253220349532,花剌子模國玉龍傑赤的鑄劍師,2026-02-18,宁夏,啥时候出枪版,2,7607858515286394274,0.6204830023960557,啥时候 出 枪版
111186766865,溯宁,2026-02-18,河南,第三部的剧情肯定没有前两部要好，但是第三部从头到尾都在比赛，爽就完了,3,7607858515286394274,0.9820392085912708,第三部 剧情 肯定 没有 前 两部 第三部 从头到尾 比赛 爽 完
85446130601,人类研究院：王院长,2026-02-24,四川,昨天刚看完，估计今年奥迪得大卖[捂脸][捂脸][捂脸][捂脸],0,7607959857710281573,4.815603645846878e-06,昨天 刚看 完 估计 今年 奥迪 得大卖 [ 捂脸 ] [ 捂脸 ] [ 捂脸 ] [ 捂脸 ]
99828370946,<OREO>,2026-02-24,安徽,张驰帮忙推车完赛？？？ 那是林臻东让他吃尾流降低风阻好提速吧[尬笑][尬笑][尬笑],0,7608823798670808250,0.19425460055043586,张驰 帮忙 推车 完赛   林臻东 吃 尾流 降低 风阻 提速 [ 尬 笑 ] [ 尬 笑 ] [ 尬 笑 ]
1560913427304094,翻滚吧豆浆,2026-04-26,河北,只要他们不抹黑，刻板印象女角色就行了，什么雌竞啊，遇到事就尖叫啊，干蠢事啊，拖后腿啊，现在没有就没有呗,2,7632839864228818853,0.076523766016666,抹黑 刻板 印象 女 角色 就行了 雌 竞 遇到 事 尖叫 干 蠢事 拖后腿 现在 没有 没有
111264327382,兔兔兔,2026-04-27,天津,瘦了尹正,1,7633076073441316106,0.9937451634474991,瘦 尹正
2189829385758520,我的neo2（FPV）,2026-04-26,江苏,当时好像是把悟3绑在穿越机上拍的,0,7632955440749399336,0.5567167343991909,当时 好像 悟 绑 穿越 机上 拍
3632377706328973,小熊不生气😜,2026-04-26,吉林,一点就点赞了，整不了。,0,7632855423909427379,0.3896891043779832,一点 点赞 整 不了
417469928051885,雾笺.,2026-04-26,湖北,朋友们时间是错的看个乐就行[憨笑],0,7633046527623213248,0.8088091960177858,朋友 时间 错 看个 乐 行 [ 憨笑 ]
508433600360508,佩佩,2026-04-27,山东,生命树太好看了实至名归点赞[比心][比心][比心][玫瑰][玫瑰][玫瑰][赞][赞][赞],0,7633349431672261928,0.9999990115692141,生命 树太 好看 实至名归 点赞 [ 比心 ] [ 比心 ] [ 比心 ] [ 玫瑰 ] [ 玫瑰 ] [ 玫瑰 ] [ 赞 ] [ 赞 ] [ 赞 ]
1231053069747198,爱吃真知棒的丞星,2026-04-27,浙江,？[泣不成声],0,7632997614044801145,0.5,[ 泣不成声 ]
60764246137,7😈,2026-02-28,上海,但这玩意只剩A3的一个壳了啊  跟量产A3有什么关系？,2,7610811939631251450,0.014383930385492572,玩意 剩 A3 一个 壳     量产 A3 关系
43580664592275,欢迎,2026-04-27,上海,老特聪明[疑问][疑问][疑问],0,7633359650713047211,0.8098884608416139,老特 聪明 [ 疑问 ] [ 疑问 ] [ 疑问 ]
79173797793,XXY,2026-03-09,湖南,中登还有机会[捂脸],1,7615218798152518946,0.08800317645147748,中登 机会 [ 捂脸 ]
3488127100913991,77,2026-04-27,广东,,1,7632998438045339365,0.5,nan
2225839996149199,咪.,2026-04-27,广东,我靠…写的太好了吧我已经哭了老师你把两人的性格和关系抓的好准啊 一点都不ooc像原作一样 看得我心痛痛的怎么回事两个人就这样淡淡的过一辈子吧不要再分开了[流泪],1,7633136060806414562,0.999764466805731,… 写 太好了 已经 哭 老师 两人 性格 关系 抓 好准   一点 ooc 原作   看得 心痛 痛 怎么回事 两个 淡淡的 一辈子 不要 分开 [ 流泪 ]
3368505955596632,郭振,2026-04-27,上海,大概率还是亏损，儒意也才刚刚盈利不到1个亿,0,7633301139210964267,0.3383874134969458,概率 亏损 儒意 刚刚 盈利 不到 亿
1238508752602768,RC猪猪侠,2026-04-26,黑龙江,[呲牙][呲牙][呲牙],0,7633016947048153710,0.39649036561138595,[ 呲 牙 ] [ 呲 牙 ] [ 呲 牙 ]
110803816744,DL-乌萨鸡,2026-04-26,广东,那么喜欢飞驰人生吗,1,7632965238716431731,0.9164954607337349,喜欢 飞驰 人生
10034650171,玉凤,2026-03-07,福建,[赞][赞][赞][赞][赞][赞][赞][发怒][发怒],1,7612625118175282341,0.9999958609076459,[ 赞 ] [ 赞 ] [ 赞 ] [ 赞 ] [ 赞 ] [ 赞 ] [ 赞 ] [ 发怒 ] [ 发怒 ]
3109039313788446,平安,2026-04-27,广东,[图片表情],0,7633066624794304241,0.6533798506251355,[ 图片 表情 ]
3773129686539471,JERRY.,2026-04-27,河北,第一部最好看,0,7632649392739186058,0.7999573957185445,第一部 好看
1406970510720168,不倒霉熊全集,2026-04-27,四川,机盖掀起来不是赛场上发生的真事吗？（无恶意纯问）,1,7632994104087555045,0.21748083204025914,机盖 掀起 赛场 发生 真事 （ 恶意 纯问 ）
102926169705,锦哥,2026-04-27,福建,亏损公司今天还涨了，A股没救了,0,7633365397944749363,0.24687816204895108,亏损 公司 今天 还涨 A股 没救
109975948393,chr166,2026-04-26,上海,当引擎的轰鸣归于寂静，当赛道的扬尘落定，我才明白，这场跨越七年的飞驰，从未停止。这不是一场简单的竞速，而是一次从个人到集体的跃迁。张驰不再是那个孤胆英雄，他身后的团队，是比赛车更坚固的铠甲。曾经的对手，如今并肩作战，赛车的轨迹，画出了信任的弧度。雪山的寒风中，悬崖的弯道上，他们用血肉之躯，挑战自然的极限。那近50分钟的赛车戏，不是炫技，而是向热爱的致敬。每一次漂移，每一次换挡，都在诉说着，对梦想的执着。笑声与泪水交织，热血与温情相融。沈腾的表演，不再是单纯的搞笑，而是沉淀了岁月的厚度。他的每一个表情，每一个动作，都刻着中年人的妥协与不甘，父亲的笨拙与深爱。这不是一场完美的电影，它有瑕疵，有不足。但它却用真诚，打动了无数人的心。向普通人致敬—《飞驰人生3》小视频与你分享。,0,7632981879680278627,1.0,引擎 轰鸣 归于 寂静 赛道 扬尘 落定 明白 这场 跨越 七年 飞驰 从未 停止 一场 简单 竞速 一次 个人 集体 跃迁 张驰 不再 孤胆 英雄 身后 团队 比赛 车 更 坚固 铠甲 曾经 对手 如今 并肩作战 赛车 轨迹 画出 信任 弧度 雪山 寒风 中 悬崖 弯道 血肉之躯 挑战 自然 极限 那近 50 分钟 赛车 戏 炫技 热爱 致敬 一次 漂移 一次 换挡 诉说着 梦想 执着 笑声 泪水 交织 热血 温情 相融 沈腾 表演 不再 单纯 搞笑 沉淀 岁月 厚度 一个 表情 一个 动作 刻 中年人 妥协 不甘 父亲 笨拙 深爱 一场 完美 电影 瑕疵 不足 真诚 打动 无数 心 普通人 致敬 — 飞驰 人生 小视频 分享
2044733913833064,四姑娘,2026-04-26,四川,[比心][比心][比心],0,7633032788808373425,0.39649036561138595,[ 比心 ] [ 比心 ] [ 比心 ]
362215818397500,用户7360497933111,2026-04-27,甘肃,傻逼又给我禁了？,0,7633395490541210022,0.34028144560781126,傻 逼 我禁
